"id","name","sport","sport_id"
109321,Zaglebie Lubin II,Soccer,1
96087,AD Cariari Pococi,Soccer,1
100184,Elazigspor,Soccer,1
98733,Elverum,Soccer,1
100030,Young Africans SC,Soccer,1
99812,CD Anguiano,Soccer,1
96396,Wigan Athletic,Soccer,1
113802,Hwange Colliery FC,Soccer,1
98903,KKS 1925 Kalisz,Soccer,1
99113,ASU Politehnica Timisoara,Soccer,1
111367,FC Metallurg Lipetsk,Soccer,1
106758,FC Minsk,Soccer,1
96130,Achyronas Onisilos,Soccer,1
116784,US Citta Di Pontedera Viareggio Team,Soccer,1
97774,Ajax Amsterdam,Soccer,1
117970,New Orleans Jesters,Soccer,1
112882,Ferroviario AC PI,Soccer,1
95417,SKU Amstetten,Soccer,1
95979,Rukinzo FC,Soccer,1
100125,Ankara Keciorengucu,Soccer,1
96101,NK BSK Bijelo Brdo,Soccer,1
