id,name,region,sport,sport_id,region_id
10178,Magyar Kupa,Hungary,Soccer,1,486
10911,Serie D - Girone D,Italy,Soccer,1,494
11342,DFB-Pokal Junioren,Germany,Soccer,1,479
11099,Premier League,Armenia,Soccer,1,578
10133,Division 1 Women,France,Soccer,1,477
10188,I-League,India,Soccer,1,488
10103,FA Cup,England,Soccer,1,474
10356,Tercera Federacion - Group 14,Spain,Soccer,1,532
11136,III Liga - Group 2,Poland,Soccer,1,518
11693,Turkiye Kupasi,Turkiye,Soccer,1,538
11325,Primera D Metropolitana,Argentina,Soccer,1,447
11989,LFF Cup,Lithuania,Soccer,1,550
11012,CAF Champions League,International,Soccer,1,490
11349,U19 European Championship - Women - Qualification,International,Soccer,1,490
9998,Liga Profesional - Reserves,Argentina,Soccer,1,447
10016,Premier League,Azerbaijan,Soccer,1,450
11344,Super Cup,Iceland,Soccer,1,487
10141,Regionalliga North,Germany,Soccer,1,479
10326,Superliga,Serbia,Soccer,1,528
10398,Cymru Premier,Wales,Soccer,1,546
10095,LigaPro Primera A,Ecuador,Soccer,1,471
10066,Elite One,Cameroon,Soccer,1,461
11224,Prva Liga - Rep of Srpska,Bosnia & Herzegovina,Soccer,1,456
11351,Nadeshiko League - Div. 1 - Women,Japan,Soccer,1,497
12164,Toulon Tournament,International,Soccer,1,490
10229,Primavera Cup,Italy,Soccer,1,494
10299,Taca de Portugal,Portugal,Soccer,1,519
11608,Amapaense,Brazil,Soccer,1,458
11334,Brasileiro Serie A,Brazil,Soccer,1,458
10031,Bosnia & Herzegovina Cup,Bosnia & Herzegovina,Soccer,1,456
10069,Primera Division,Chile,Soccer,1,463
10272,1. MFL,North Macedonia,Soccer,1,510
10118,Southern Football League - Premier Division South,England,Soccer,1,474
11606,Macedonia Cup,North Macedonia,Soccer,1,510
10376,Premier League,Tanzania,Soccer,1,535
11215,Cup,Iceland,Soccer,1,487
9999,A-League,Australia,Soccer,1,448
10340,Segunda Federacion,Spain,Soccer,1,532
10176,Division 1,"Hong Kong, China",Soccer,1,485
11341,1st deild,Faroe Islands,Soccer,1,584
10121,Premier League 2 - Div. 2,England,Soccer,1,474
11077,III Liga - Group 3,Poland,Soccer,1,518
10251,Super League,Malaysia,Soccer,1,503
10381,1. Lig,Turkiye,Soccer,1,538
10377,Thai League 1,Thailand,Soccer,1,536
10256,Liga de Expansion MX - Clausura,Mexico,Soccer,1,505
10350,Tercera Federacion - Group 8,Spain,Soccer,1,532
10342,Primera Federacion,Spain,Soccer,1,532
9986,Kategoria e Pare,Albania,Soccer,1,444
10351,Tercera Federacion - Group 9,Spain,Soccer,1,532
11416,Cup,Estonia,Soccer,1,475
10218,FAI Presidents Cup,Ireland,Soccer,1,492
11346,CONCACAF Nations League,International,Soccer,1,490
10344,Tercera Federacion - Group 2,Spain,Soccer,1,532
10244,Premier League,Kenya,Soccer,1,498
11500,Brasileiro Serie D,Brazil,Soccer,1,458
11299,First League,Armenia,Soccer,1,578
10041,Goiano,Brazil,Soccer,1,458
